City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,62.456,-114.3525,54.32,43,75,1.01,broken clouds
1,Kapaa,US,22.0752,-159.319,84.52,76,75,5.99,broken clouds
2,Port Alfred,ZA,-33.5906,26.891,59.88,26,0,9.4,clear sky
3,Port Elizabeth,ZA,-33.918,25.5701,46.69,61,40,3.44,scattered clouds
4,Port Hawkesbury,CA,45.6169,-61.3485,78.01,87,75,4.0,broken clouds
5,Ushuaia,AR,-54.8,-68.3,31.66,86,20,3.44,few clouds
6,Puerto Ayora,EC,-0.7393,-90.3518,72.55,93,93,7.0,overcast clouds
7,Avarua,CK,-21.2078,-159.775,78.85,73,20,20.71,light rain
8,Razole,IN,16.4833,81.8333,78.48,88,90,3.31,overcast clouds
9,Busselton,AU,-33.65,115.3333,46.04,78,100,2.06,overcast clouds
10,Dikson,RU,73.5069,80.5464,34.77,92,100,7.85,overcast clouds
11,Jamestown,US,42.097,-79.2353,72.3,97,90,1.99,moderate rain
12,Panzhihua,CN,26.5851,101.7128,70.79,95,100,1.14,overcast clouds
13,Hobart,AU,-42.8794,147.3294,43.02,95,75,1.01,broken clouds
14,Mercedes,AR,-34.6515,-59.4307,55.85,74,2,8.19,clear sky
15,Adrar,MR,20.5022,-10.0711,91.44,26,9,8.99,clear sky
16,Emerald,AU,-23.5333,148.1667,54.99,40,30,6.91,scattered clouds
17,Vaini,TO,-21.2,-175.2,78.96,89,40,9.22,scattered clouds
18,Talaya,RU,61.3833,152.75,69.44,36,100,9.82,overcast clouds
19,Juneau,US,58.3019,-134.4197,66.85,78,75,8.05,broken clouds
20,Clyde River,CA,70.4692,-68.5914,48.43,81,90,11.5,overcast clouds
21,Port Hedland,AU,-20.3167,118.5667,51.85,54,19,8.05,few clouds
22,Souillac,MU,-20.5167,57.5167,71.37,88,75,6.91,light rain
23,Qaqortoq,GL,60.7167,-46.0333,55.9,65,100,2.04,overcast clouds
24,Auki,SB,-8.7676,160.7034,82.56,76,45,6.73,scattered clouds
25,Kanlagay,PH,5.8757,121.2915,80.26,81,100,3.69,overcast clouds
26,Ancud,CL,-41.8697,-73.8203,47.73,77,15,8.08,few clouds
27,Mahibadhoo,MV,3.7833,72.9667,82.54,75,8,9.57,clear sky
28,Dunedin,NZ,-45.8742,170.5036,48.79,91,59,1.01,broken clouds
29,East London,ZA,-33.0153,27.9116,58.28,23,0,6.49,clear sky
30,Komsomolskiy,UZ,40.4272,71.7189,65.62,88,40,0.0,mist
31,Khatanga,RU,71.9667,102.5,42.55,64,8,5.1,clear sky
32,Lebu,CL,-37.6167,-73.65,48.22,71,10,13.58,clear sky
33,Cabo San Lucas,MX,22.8909,-109.9124,98.51,63,76,4.56,broken clouds
34,Abalak,RU,58.1286,68.5944,48.13,95,0,3.87,clear sky
35,Hilo,US,19.7297,-155.09,94.28,65,90,4.61,light rain
36,Jinka,ET,5.65,36.65,66.51,70,100,1.61,light rain
37,Pamfila,GR,39.1567,26.5217,82.11,57,0,0.0,clear sky
38,Ahipara,NZ,-35.1667,173.1667,62.44,93,100,25.1,light rain
39,Mata,PT,40.683,-7.4592,73.92,36,0,1.21,clear sky
40,Saint-Augustin,CA,51.226,-58.6502,59.29,97,100,11.12,overcast clouds
41,Chokurdakh,RU,70.6333,147.9167,60.1,52,100,3.2,overcast clouds
42,Olafsvik,IS,64.8945,-23.7142,50.05,91,78,3.96,broken clouds
43,Tuktoyaktuk,CA,69.4541,-133.0374,57.2,62,75,6.91,broken clouds
44,Vardo,NO,70.3705,31.1107,52.0,77,87,11.97,light rain
45,Bam,IR,29.106,58.357,88.32,37,100,5.44,overcast clouds
46,Aguilar De La Frontera,ES,37.5143,-4.6554,84.6,38,0,7.52,clear sky
